Physician_ID,Cnt_Fraud_Engagement,Cnt_Fraud_Engagement_Rate
PHY355366,168,0.05
PHY319958,168,0.05
PHY320956,167,0.05
PHY411165,167,0.05
PHY348748,167,0.05
PHY419136,167,0.05
PHY420323,167,0.05
PHY381098,166,0.05
PHY393262,166,0.05
PHY315400,166,0.05
PHY342066,166,0.05
PHY423833,166,0.05
PHY376059,165,0.05
PHY337003,165,0.05
PHY355134,164,0.05
PHY409699,164,0.05
PHY341553,164,0.05
PHY359424,163,0.05
PHY417058,163,0.05
PHY378799,163,0.05
PHY374394,163,0.05
PHY314408,163,0.05
PHY433037,161,0.05
PHY378468,161,0.05
PHY390959,161,0.05
PHY412631,161,0.05
PHY337774,161,0.05
PHY433357,159,0.05
PHY343438,159,0.05
PHY409783,159,0.05
PHY322883,158,0.05
PHY411996,158,0.05
PHY401920,157,0.05
PHY324561,157,0.05
PHY375509,157,0.05
PHY403570,157,0.05
PHY377718,157,0.05
PHY340150,156,0.05
PHY367783,156,0.05
PHY423718,156,0.05
PHY433465,155,0.05
PHY359079,155,0.05
PHY345623,154,0.05
PHY396507,154,0.05
PHY401145,154,0.05
PHY365422,153,0.05
PHY421576,153,0.05
PHY377466,153,0.05
PHY387351,152,0.05
PHY391459,152,0.05
PHY325883,152,0.05
PHY346328,151,0.05
PHY400120,151,0.05
PHY406370,151,0.05
PHY415911,151,0.05
PHY368661,151,0.05
PHY386012,151,0.05
PHY368864,150,0.05
PHY377234,150,0.05
PHY377712,150,0.05
PHY367788,149,0.05
PHY332993,149,0.05
PHY340158,149,0.05
PHY428459,149,0.05
PHY372805,149,0.05
PHY311343,149,0.05
PHY362965,149,0.05
PHY322816,148,0.05
PHY374128,148,0.05
PHY391951,148,0.05
PHY314320,148,0.05
PHY402328,148,0.05
PHY391796,148,0.05
PHY404509,148,0.05
PHY365445,148,0.05
PHY415742,147,0.04
PHY388025,147,0.04
PHY311269,147,0.04
PHY399537,147,0.04
PHY403682,146,0.04
PHY321288,146,0.04
PHY314546,146,0.04
PHY411660,146,0.04
PHY316159,146,0.04
PHY323682,145,0.04
PHY406209,145,0.04
PHY317506,145,0.04
PHY430625,144,0.04
PHY345068,144,0.04
PHY391158,144,0.04
PHY365507,143,0.04
PHY318539,143,0.04
PHY325821,143,0.04
PHY332820,142,0.04
PHY388514,142,0.04
PHY316237,141,0.04
PHY424943,141,0.04
PHY316474,141,0.04
PHY433128,140,0.04
PHY341726,140,0.04
PHY375443,140,0.04
PHY354238,140,0.04
PHY391413,140,0.04
PHY322406,139,0.04
PHY365057,139,0.04
PHY359110,138,0.04
PHY361820,138,0.04
PHY332693,138,0.04
PHY333995,138,0.04
PHY402104,138,0.04
PHY375972,138,0.04
PHY344762,138,0.04
PHY357996,137,0.04
PHY359026,137,0.04
PHY317695,137,0.04
PHY427791,137,0.04
PHY376335,136,0.04
PHY365540,136,0.04
PHY322048,136,0.04
PHY375728,135,0.04
PHY351910,135,0.04
PHY360481,134,0.04
PHY387189,134,0.04
PHY417751,134,0.04
PHY404352,134,0.04
PHY360510,134,0.04
PHY415375,133,0.04
PHY360602,133,0.04
PHY341388,132,0.04
PHY388987,132,0.04
PHY396620,132,0.04
PHY352698,132,0.04
PHY414204,132,0.04
PHY410813,132,0.04
PHY322164,132,0.04
PHY348290,132,0.04
PHY317711,131,0.04
PHY405290,131,0.04
PHY403831,131,0.04
PHY427222,131,0.04
PHY321331,131,0.04
PHY409582,131,0.04
PHY389327,130,0.04
PHY411809,130,0.04
PHY332706,130,0.04
PHY376573,130,0.04
PHY363733,130,0.04
PHY416347,130,0.04
PHY396224,129,0.04
PHY397865,129,0.04
PHY347380,129,0.04
PHY358110,128,0.04
PHY411545,128,0.04
PHY359433,128,0.04
PHY391800,127,0.04
PHY372123,127,0.04
PHY385446,127,0.04
PHY334319,127,0.04
PHY415142,127,0.04
PHY398277,127,0.04
PHY361370,126,0.04
PHY418351,126,0.04
PHY393087,126,0.04
PHY342344,126,0.04
PHY334590,125,0.04
PHY420164,125,0.04
PHY359690,124,0.04
PHY386206,124,0.04
PHY431348,124,0.04
PHY366236,124,0.04
PHY338145,123,0.04
PHY396851,123,0.04
PHY338803,123,0.04
PHY398111,123,0.04
PHY329971,122,0.04
PHY330845,122,0.04
PHY348301,122,0.04
PHY401995,122,0.04
PHY423848,122,0.04
PHY340336,122,0.04
PHY406084,122,0.04
PHY359290,122,0.04
PHY386828,122,0.04
PHY368118,121,0.04
PHY384809,120,0.04
PHY357095,120,0.04
PHY406757,120,0.04
PHY421562,120,0.04
PHY369551,120,0.04
PHY352963,118,0.04
PHY320347,118,0.04
PHY350514,118,0.04
PHY344367,117,0.04
PHY321957,117,0.04
PHY394532,117,0.04
PHY406546,116,0.04
PHY367216,116,0.04
PHY326117,116,0.04
PHY385509,116,0.04
PHY388788,116,0.04
PHY322897,115,0.04
PHY379142,115,0.04
PHY412706,115,0.04
PHY338534,115,0.04
PHY349880,115,0.04
PHY376928,115,0.04
PHY386533,114,0.03
PHY358451,114,0.03
PHY379358,114,0.03
PHY330830,114,0.03
PHY356058,114,0.03
PHY344222,113,0.03
PHY315576,113,0.03
PHY392596,113,0.03
PHY397930,112,0.03
PHY343605,112,0.03
PHY323282,112,0.03
PHY405468,112,0.03
PHY376485,112,0.03
PHY383763,112,0.03
PHY339242,112,0.03
PHY412904,111,0.03
PHY386547,110,0.03
PHY407165,110,0.03
PHY328384,110,0.03
PHY370342,110,0.03
PHY355678,110,0.03
PHY322184,110,0.03
PHY430510,109,0.03
PHY408107,109,0.03
PHY364468,108,0.03
PHY378155,108,0.03
PHY399029,108,0.03
PHY358460,108,0.03
PHY414898,108,0.03
PHY378813,107,0.03
PHY323657,107,0.03
PHY357182,107,0.03
PHY324355,107,0.03
PHY328582,107,0.03
PHY358392,107,0.03
PHY363487,107,0.03
PHY334900,106,0.03
PHY392849,106,0.03
PHY429883,106,0.03
PHY386905,106,0.03
PHY393922,106,0.03
PHY382713,106,0.03
PHY409653,105,0.03
PHY384216,105,0.03
PHY400712,105,0.03
PHY334665,105,0.03
PHY372988,104,0.03
PHY347540,104,0.03
PHY331400,104,0.03
PHY345721,104,0.03
PHY336787,104,0.03
PHY396473,104,0.03
PHY359280,103,0.03
PHY348036,103,0.03
PHY425961,103,0.03
PHY338162,103,0.03
PHY331728,102,0.03
PHY433487,102,0.03
PHY372733,102,0.03
PHY427489,102,0.03
PHY426057,102,0.03
PHY428836,102,0.03
PHY404688,101,0.03
PHY429478,101,0.03
PHY333894,101,0.03
PHY430835,101,0.03
PHY411281,100,0.03
PHY346833,100,0.03
PHY423627,100,0.03
PHY311797,100,0.03
PHY427132,100,0.03
PHY385113,100,0.03
PHY423527,100,0.03
PHY346824,99,0.03
PHY431745,99,0.03
PHY330654,99,0.03
PHY339887,99,0.03
PHY402772,99,0.03
PHY312555,99,0.03
PHY366922,99,0.03
PHY412513,98,0.03
PHY345547,98,0.03
PHY337730,98,0.03
PHY410350,98,0.03
PHY335023,98,0.03
PHY324343,98,0.03
PHY398146,97,0.03
PHY330741,97,0.03
PHY345412,97,0.03
PHY383955,97,0.03
PHY320707,97,0.03
PHY402352,97,0.03
PHY332678,96,0.03
PHY330185,96,0.03
PHY342951,96,0.03
PHY338077,95,0.03
PHY366633,95,0.03
PHY430789,95,0.03
PHY412994,95,0.03
PHY341082,95,0.03
PHY403045,95,0.03
PHY385913,95,0.03
PHY396366,94,0.03
PHY339481,94,0.03
PHY422591,94,0.03
PHY345387,94,0.03
PHY423723,93,0.03
PHY329457,93,0.03
PHY317078,93,0.03
PHY359596,93,0.03
PHY324171,93,0.03
PHY427742,93,0.03
PHY325886,93,0.03
PHY372925,92,0.03
PHY323349,92,0.03
PHY336948,92,0.03
PHY311151,92,0.03
PHY428734,92,0.03
PHY423004,92,0.03
PHY358937,92,0.03
PHY313575,92,0.03
PHY377706,91,0.03
PHY334011,91,0.03
PHY405475,91,0.03
PHY374794,91,0.03
PHY421582,91,0.03
PHY402522,91,0.03
PHY325951,91,0.03
PHY397367,91,0.03
PHY388567,91,0.03
PHY354241,91,0.03
PHY389816,90,0.03
PHY329593,90,0.03
PHY398617,90,0.03
PHY331788,90,0.03
PHY323364,90,0.03
PHY326841,90,0.03
PHY400421,89,0.03
PHY324344,89,0.03
PHY369804,89,0.03
PHY335051,89,0.03
PHY399716,88,0.03
PHY343331,88,0.03
PHY379631,88,0.03
PHY415259,88,0.03
PHY432684,88,0.03
PHY383540,88,0.03
PHY357302,88,0.03
PHY392327,88,0.03
PHY353272,88,0.03
PHY355082,88,0.03
PHY351942,88,0.03
PHY318956,88,0.03
PHY320990,88,0.03
PHY367175,88,0.03
PHY431938,88,0.03
PHY409445,88,0.03
PHY427618,88,0.03
PHY357741,88,0.03
PHY384674,88,0.03
PHY413718,87,0.03
PHY407804,87,0.03
PHY315658,87,0.03
PHY362474,87,0.03
PHY418283,87,0.03
PHY394725,87,0.03
PHY360050,87,0.03
PHY352592,87,0.03
PHY360369,87,0.03
PHY426351,87,0.03
PHY353276,87,0.03
PHY427781,87,0.03
PHY383001,86,0.03
PHY351059,86,0.03
PHY354343,86,0.03
PHY363708,86,0.03
PHY374408,86,0.03
PHY334775,86,0.03
PHY421898,86,0.03
PHY326493,86,0.03
PHY409488,85,0.03
PHY366407,85,0.03
PHY315739,85,0.03
PHY346923,85,0.03
PHY372645,85,0.03
PHY312958,84,0.03
PHY351111,84,0.03
PHY352743,84,0.03
PHY341655,84,0.03
PHY375607,84,0.03
PHY388395,84,0.03
PHY418790,84,0.03
PHY423518,84,0.03
PHY386219,84,0.03
PHY338931,83,0.03
PHY370419,83,0.03
PHY342769,83,0.03
PHY403851,83,0.03
PHY423316,83,0.03
PHY338065,83,0.03
PHY405488,83,0.03
PHY396316,83,0.03
PHY355186,83,0.03
PHY399842,82,0.02
PHY317025,82,0.02
PHY341809,82,0.02
PHY336106,82,0.02
PHY348682,82,0.02
PHY335275,82,0.02
PHY353085,82,0.02
PHY370237,82,0.02
PHY317416,82,0.02
PHY326086,82,0.02
PHY406024,82,0.02
PHY433217,82,0.02
PHY434016,81,0.02
PHY410050,81,0.02
PHY432507,81,0.02
PHY415606,81,0.02
PHY372308,81,0.02
PHY343799,81,0.02
PHY333636,81,0.02
PHY313322,80,0.02
PHY417740,80,0.02
PHY355749,80,0.02
PHY350359,80,0.02
PHY357114,80,0.02
PHY396151,80,0.02
PHY385292,80,0.02
PHY371366,80,0.02
PHY367836,80,0.02
PHY353247,80,0.02
PHY389419,80,0.02
PHY365138,80,0.02
PHY398706,80,0.02
PHY400986,80,0.02
PHY343688,79,0.02
PHY348103,79,0.02
PHY418104,79,0.02
PHY429238,79,0.02
PHY371550,79,0.02
PHY406663,79,0.02
PHY416849,79,0.02
PHY361185,79,0.02
PHY376990,79,0.02
PHY341292,79,0.02
PHY348965,79,0.02
PHY365661,79,0.02
PHY402499,79,0.02
PHY347336,78,0.02
PHY325105,78,0.02
PHY408463,78,0.02
PHY407357,78,0.02
PHY389351,78,0.02
PHY328895,78,0.02
PHY335592,78,0.02
PHY391039,78,0.02
PHY347542,78,0.02
PHY370682,78,0.02
PHY348296,78,0.02
PHY388964,77,0.02
PHY407355,77,0.02
PHY388938,77,0.02
PHY428134,77,0.02
PHY419403,77,0.02
PHY338170,77,0.02
PHY381377,77,0.02
PHY398730,77,0.02
PHY323132,76,0.02
PHY410990,76,0.02
PHY423743,76,0.02
PHY416620,76,0.02
PHY313720,76,0.02
PHY374049,76,0.02
PHY350526,76,0.02
PHY411449,76,0.02
PHY334327,76,0.02
PHY432229,75,0.02
PHY423110,75,0.02
PHY346261,75,0.02
PHY412084,75,0.02
PHY345475,75,0.02
PHY408722,75,0.02
PHY326369,75,0.02
PHY429433,75,0.02
PHY433318,75,0.02
PHY401867,75,0.02
PHY347318,75,0.02
PHY365631,75,0.02
PHY316154,75,0.02
PHY320218,74,0.02
PHY323643,74,0.02
PHY317254,74,0.02
PHY317092,74,0.02
PHY423358,74,0.02
PHY412925,74,0.02
PHY428926,74,0.02
PHY416225,74,0.02
PHY381396,74,0.02
PHY355232,74,0.02
PHY415482,73,0.02
PHY424642,73,0.02
PHY431334,73,0.02
PHY372224,73,0.02
PHY402329,73,0.02
PHY408561,73,0.02
PHY331639,73,0.02
PHY343565,72,0.02
PHY369226,72,0.02
PHY415356,72,0.02
PHY350744,72,0.02
PHY428199,72,0.02
PHY345985,71,0.02
PHY321543,71,0.02
PHY424921,71,0.02
PHY412608,71,0.02
PHY323292,71,0.02
PHY414631,71,0.02
PHY344920,71,0.02
PHY321407,70,0.02
PHY413989,70,0.02
PHY370737,70,0.02
PHY369620,70,0.02
PHY395824,70,0.02
PHY329076,70,0.02
PHY386379,70,0.02
PHY365428,70,0.02
PHY424418,69,0.02
PHY423591,69,0.02
PHY360605,69,0.02
PHY320125,69,0.02
PHY313267,69,0.02
PHY355709,69,0.02
PHY408105,69,0.02
PHY323563,69,0.02
PHY384055,69,0.02
PHY409675,69,0.02
PHY414243,69,0.02
PHY417596,69,0.02
PHY315352,69,0.02
PHY393943,69,0.02
PHY348905,69,0.02
PHY372334,69,0.02
PHY428895,68,0.02
PHY355597,68,0.02
PHY343589,68,0.02
PHY419984,68,0.02
PHY320339,68,0.02
PHY367705,68,0.02
PHY363012,68,0.02
PHY383633,68,0.02
PHY397133,67,0.02
PHY338072,67,0.02
PHY374848,67,0.02
PHY371557,67,0.02
PHY406484,67,0.02
PHY366892,67,0.02
PHY431971,67,0.02
PHY361670,67,0.02
PHY383100,67,0.02
PHY327236,67,0.02
PHY357115,67,0.02
PHY393017,66,0.02
PHY323241,66,0.02
PHY320754,66,0.02
PHY432840,66,0.02
PHY311190,66,0.02
PHY312897,66,0.02
PHY340298,66,0.02
PHY334649,66,0.02
PHY367866,66,0.02
PHY358966,66,0.02
PHY424209,66,0.02
PHY327010,66,0.02
PHY332553,66,0.02
PHY368461,66,0.02
PHY428169,65,0.02
PHY334125,65,0.02
PHY320186,65,0.02
PHY422569,65,0.02
PHY370233,65,0.02
PHY330468,65,0.02
PHY364683,65,0.02
PHY411379,65,0.02
PHY364315,65,0.02
PHY422781,64,0.02
PHY393981,64,0.02
PHY313458,64,0.02
PHY397681,64,0.02
PHY334843,64,0.02
PHY407569,64,0.02
PHY358646,64,0.02
PHY404717,64,0.02
PHY337566,64,0.02
PHY407098,64,0.02
PHY413657,64,0.02
PHY415610,64,0.02
PHY395247,64,0.02
PHY367928,63,0.02
PHY402142,63,0.02
PHY392301,63,0.02
PHY359453,63,0.02
PHY378524,63,0.02
PHY376240,63,0.02
PHY331062,63,0.02
PHY321230,63,0.02
PHY327695,63,0.02
PHY351658,63,0.02
PHY364378,63,0.02
PHY397467,62,0.02
PHY344107,62,0.02
PHY374288,62,0.02
PHY326754,62,0.02
PHY349726,62,0.02
PHY355246,62,0.02
PHY408102,62,0.02
PHY368107,62,0.02
PHY416938,62,0.02
PHY398364,62,0.02
PHY381433,62,0.02
PHY370416,62,0.02
PHY422447,61,0.02
PHY374760,61,0.02
PHY409772,61,0.02
PHY358037,61,0.02
PHY350220,61,0.02
PHY344232,61,0.02
PHY387644,61,0.02
PHY386736,61,0.02
PHY400037,61,0.02
PHY416030,61,0.02
PHY320861,61,0.02
PHY364318,61,0.02
PHY333056,61,0.02
PHY344271,61,0.02
PHY349438,60,0.02
PHY385565,60,0.02
PHY424188,60,0.02
PHY319913,60,0.02
PHY318021,60,0.02
PHY406951,60,0.02
PHY343177,60,0.02
PHY340119,60,0.02
PHY352357,60,0.02
PHY326261,60,0.02
PHY311219,60,0.02
PHY386384,60,0.02
PHY383392,60,0.02
PHY327343,60,0.02
PHY357829,60,0.02
PHY427796,60,0.02
PHY372885,60,0.02
PHY397230,59,0.02
PHY391786,59,0.02
PHY329551,59,0.02
PHY380454,59,0.02
PHY384923,59,0.02
PHY386572,59,0.02
PHY410394,59,0.02
PHY354466,59,0.02
PHY339381,59,0.02
PHY366968,59,0.02
PHY401606,59,0.02
PHY342435,58,0.02
PHY320215,58,0.02
PHY365461,58,0.02
PHY398714,58,0.02
PHY390615,58,0.02
PHY368632,58,0.02
PHY332047,58,0.02
PHY338254,58,0.02
PHY346061,58,0.02
PHY334913,58,0.02
PHY362452,58,0.02
PHY364199,58,0.02
PHY393527,57,0.02
PHY322879,57,0.02
PHY354548,57,0.02
PHY312416,57,0.02
PHY426290,57,0.02
PHY346493,57,0.02
PHY321991,57,0.02
PHY363224,57,0.02
PHY395796,57,0.02
PHY430166,56,0.02
PHY388460,56,0.02
PHY360820,56,0.02
PHY385861,56,0.02
PHY365673,56,0.02
PHY339305,56,0.02
PHY403348,56,0.02
PHY412001,56,0.02
PHY417991,56,0.02
PHY394608,56,0.02
PHY428087,56,0.02
PHY343291,56,0.02
PHY373046,56,0.02
PHY409099,55,0.02
PHY359423,55,0.02
PHY416774,55,0.02
PHY346417,55,0.02
PHY338297,55,0.02
PHY400388,55,0.02
PHY358970,55,0.02
PHY405669,55,0.02
PHY380027,55,0.02
PHY355187,55,0.02
PHY363552,55,0.02
PHY402129,55,0.02
PHY327624,55,0.02
PHY383493,55,0.02
PHY330339,55,0.02
PHY363116,55,0.02
PHY412967,55,0.02
PHY379578,55,0.02
PHY382030,55,0.02
PHY340814,55,0.02
PHY368624,54,0.02
PHY366376,54,0.02
PHY319663,54,0.02
PHY331280,54,0.02
PHY434033,54,0.02
PHY392672,54,0.02
PHY337795,54,0.02
PHY319587,54,0.02
PHY412958,54,0.02
PHY417960,54,0.02
PHY412390,54,0.02
PHY383401,54,0.02
PHY315892,54,0.02
PHY360764,54,0.02
PHY350408,54,0.02
PHY319467,54,0.02
PHY413598,54,0.02
PHY312034,54,0.02
PHY383374,53,0.02
PHY335092,53,0.02
PHY376555,53,0.02
PHY366891,53,0.02
PHY337215,53,0.02
PHY401668,53,0.02
PHY320158,53,0.02
PHY318756,53,0.02
PHY418387,53,0.02
PHY414955,53,0.02
PHY398655,53,0.02
PHY421499,53,0.02
PHY422209,53,0.02
PHY357503,53,0.02
PHY433105,53,0.02
PHY359552,53,0.02
PHY336785,53,0.02
PHY345633,52,0.02
PHY430204,52,0.02
PHY328722,52,0.02
PHY432268,52,0.02
PHY398887,52,0.02
PHY347496,52,0.02
PHY318455,52,0.02
PHY368319,52,0.02
PHY356212,52,0.02
PHY387922,52,0.02
PHY421653,52,0.02
PHY375085,51,0.02
PHY431554,51,0.02
PHY397687,51,0.02
PHY433669,51,0.02
PHY385193,51,0.02
PHY338490,51,0.02
PHY377597,51,0.02
PHY365799,51,0.02
PHY330494,51,0.02
PHY315778,51,0.02
PHY357276,51,0.02
PHY371943,51,0.02
PHY358452,50,0.02
PHY336576,50,0.02
PHY341688,50,0.02
PHY335280,50,0.02
PHY378840,50,0.02
PHY424677,50,0.02
PHY322187,50,0.02
PHY416419,50,0.02
PHY393995,50,0.02
PHY409767,50,0.02
PHY346768,50,0.02
PHY373785,49,0.01
PHY419725,49,0.01
PHY327392,49,0.01
PHY384625,49,0.01
PHY311376,49,0.01
PHY345896,49,0.01
PHY421968,49,0.01
PHY353317,49,0.01
PHY317148,49,0.01
PHY423827,49,0.01
PHY421674,49,0.01
PHY313682,49,0.01
PHY317346,49,0.01
PHY349530,49,0.01
PHY376007,49,0.01
PHY421802,49,0.01
PHY403762,49,0.01
PHY316773,49,0.01
PHY341935,49,0.01
PHY329309,49,0.01
PHY396267,49,0.01
PHY406791,49,0.01
PHY341674,49,0.01
PHY370943,49,0.01
PHY397283,49,0.01
PHY345001,48,0.01
PHY371011,48,0.01
PHY322050,48,0.01
PHY427261,48,0.01
PHY430487,48,0.01
PHY392985,48,0.01
PHY357477,48,0.01
PHY427530,48,0.01
PHY353703,48,0.01
PHY432920,48,0.01
PHY412811,48,0.01
PHY427243,48,0.01
PHY416527,48,0.01
PHY400219,47,0.01
PHY386654,47,0.01
PHY357687,47,0.01
PHY348829,47,0.01
PHY352781,47,0.01
PHY384975,47,0.01
PHY343295,47,0.01
PHY342301,47,0.01
PHY394049,47,0.01
PHY311394,47,0.01
PHY419570,47,0.01
PHY391484,47,0.01
PHY395743,47,0.01
PHY365827,47,0.01
PHY343828,47,0.01
PHY430985,47,0.01
PHY424666,47,0.01
PHY395516,47,0.01
PHY428567,47,0.01
PHY365006,47,0.01
PHY347502,47,0.01
PHY324443,47,0.01
PHY397506,47,0.01
PHY348758,47,0.01
PHY355570,47,0.01
PHY327460,47,0.01
PHY361690,47,0.01
PHY337484,46,0.01
PHY340127,46,0.01
PHY376300,46,0.01
PHY380113,46,0.01
PHY365433,46,0.01
PHY347200,46,0.01
PHY332388,46,0.01
PHY358437,46,0.01
PHY415546,46,0.01
PHY431364,46,0.01
PHY373488,46,0.01
PHY408943,46,0.01
PHY366459,46,0.01
PHY386348,46,0.01
PHY408871,46,0.01
PHY313760,46,0.01
PHY371079,46,0.01
PHY333806,46,0.01
PHY357806,46,0.01
PHY403010,46,0.01
PHY362723,46,0.01
PHY317032,46,0.01
PHY371731,45,0.01
PHY391048,45,0.01
PHY431166,45,0.01
PHY408787,45,0.01
PHY349503,45,0.01
PHY432792,45,0.01
PHY354572,45,0.01
PHY345937,45,0.01
PHY355860,45,0.01
PHY421615,45,0.01
PHY372619,45,0.01
PHY324380,45,0.01
PHY322715,45,0.01
PHY399479,45,0.01
PHY406849,45,0.01
PHY325750,45,0.01
PHY344772,45,0.01
PHY430293,45,0.01
